Print? (y/n),First Name,Last Name,Street Address,City,State,Zipcode,Country
,Bill,Appleseed,1238 New Ipswitch Rd.,Ashby,MA,1431,
,Jim & Karen,Davis,23 Greenfield Ave.,Portsmouth,RI,2871,
,David & Julie,Churchill,P.O. Box 187,Monument Beach,MA,2553,
,James & Beth,Altoid,15 Geneva Road,Andover,MA,1810,
,Helen,Smith,11 AngleseaAve.,Blackrock,Co. Dublin,,Eire
,Audrey,Arnold & Chris Duran,4080 Malaya St.,Denver,CO,80249,
,The,Ashley's,6435 Main Rd.,Huntington,VT,5462,
,Rod,Fishing,1030 East Whitney Apt 1C,Fairport,NY,14450,
,John & Beth,Bath,"5 Eastman Road, Apt 1",Somerville,MA,2143,
,Jean ,Wheel,914 Hammerle Rd.,Oxford,NY,13830,
